dam,"水壩<br><div style=""text-align: right"">N
</div>"
dam,"在河上築壩蓄水<br>阻擋<br><div style=""text-align: right"">V
</div>"
darken,"使變暗<br>使變不快樂<br><div style=""text-align: right"">V
</div>"
dash,"飛奔<br>短跑賽<br><div style=""text-align: right"">N
</div>"
dash,"衝撞<br>撞碎<br><div style=""text-align: right"">V
</div>"
dazzle,"使目昡<br><div style=""text-align: right"">V
</div>"
dazzle,"耀眼<br><div style=""text-align: right"">N
</div>"
deal,"買賣<br>應付<br>涉及<br>探討<br><div style=""text-align: right"">V
</div>"
deal,"交易<br>協議<br><div style=""text-align: right"">N
</div>"
debt,"債<br>恩情<br><div style=""text-align: right"">N
</div>"
dear,"親愛的<br>寶貴的<br>可愛的<br><div style=""text-align: right"">adj
</div>"
dear,"親愛的<br>善良的人<br><div style=""text-align: right"">N
</div>"
dearly,"非常<br>付出巨大代價地<br><div style=""text-align: right"">adv
</div>"
debut,"初次登臺<br><div style=""text-align: right"">V
</div>"
decay,"腐蝕<br>使衰敗<br>使衰弱<br><div style=""text-align: right"">V
</div>"
decay,"腐蝕<br>使衰敗<br>衰弱<br><div style=""text-align: right"">N
</div>"
decease,"死亡<br><div style=""text-align: right"">N-UC
</div>"
decency,"正派<br>正經<br><div style=""text-align: right"">N-UC
</div>"
decent,"正派的<br>體面的<br>像樣的<br><div style=""text-align: right"">adj
</div>"
decently,"合適地<br>體面地<br><div style=""text-align: right"">adv
</div>"
dedicate,"奉獻<br>把時間、精力用於<br>致力於<br><div style=""text-align: right"">V
</div>"
dedicated,"獻身於<br>滿腔熱誠的<br>專用的<br><div style=""text-align: right"">adj
</div>"
deed,"行為<br><div style=""text-align: right"">N
</div>"
deepen,"加深<br>使惡化<br><div style=""text-align: right"">V
</div>"
a_narrow_defeat,"差很小的失敗<br><div style=""text-align: right"">phr
</div>"
defect,"缺陷<br><div style=""text-align: right"">N
</div>"
defect,"叛逃<br><div style=""text-align: right"">V
</div>"
defend,"防禦<br>為…辯護<br><div style=""text-align: right"">V
</div>"
defficiency,"短缺<br><div style=""text-align: right"">N
</div>"
deficit,"赤字<br>金錢不足<br><div style=""text-align: right"">N
</div>"
define,"解釋<br>定義<br>顯示出…的輪廓<br><div style=""text-align: right"">V
</div>"
definite,"肯定的<br><div style=""text-align: right"">adj
</div>"
delegate,"代表團員<br><div style=""text-align: right"">N
</div>"
delegate,"派…為代表<br>委託<br><div style=""text-align: right"">V
</div>"
delegation,"代表團<br>委任<br><div style=""text-align: right"">N
</div>"
deliberate,"審慎的<br>從容不迫的<br>故意的<br><div style=""text-align: right"">adj
</div>"
deliberate,"慎重考慮<br>商議<br><div style=""text-align: right"">V
</div>"
deliberation,"深思<br><div style=""text-align: right"">N-UC
</div>"
delicacy,"美食<br>慎重<br>易碎<br>精妙<br><div style=""text-align: right"">N-UC
</div>"
delicate,"精緻的<br>優美的<br>脆弱的<br><div style=""text-align: right"">adj
</div>"
demanding,"嚴格的<br>費力的<br><div style=""text-align: right"">adj
</div>"
democrat,"民主主義者<br><div style=""text-align: right"">N
</div>"
detal,"牙的<br><div style=""text-align: right"">adj
</div>"
deny,"否認<br>拒絕<br>不允許<br>剝奪<br><div style=""text-align: right"">V
</div>"
department,"科系<br>部門<br><div style=""text-align: right"">N
</div>"
dependable,"可信賴的<br><div style=""text-align: right"">adj
</div>"
dependent,"要照料的<br>取決於...<br><div style=""text-align: right"">adj
</div>"
dependent,"受撫養的<br><div style=""text-align: right"">adj
</div>"
deprive,"剝奪<br>奪去<br><div style=""text-align: right"">V
</div>"
deputy,"代理人<br><div style=""text-align: right"">N
</div>"
derive,"取得<br>起源於<br><div style=""text-align: right"">V</div>"
